1.000000,902062.638000,274683.639000,7.432000
2.000000,901957.888000,274645.217000,7.435000
3.000000,901887.879000,274619.829000,7.423000
4.000000,901844.449000,274604.222000,7.438000
5.000000,901824.562000,274608.635000,7.348000
6.000000,901811.634000,274643.425000,7.156000
7.000000,901790.934000,274691.320000,6.585000
8.000000,901757.072000,274678.257000,3.981000
9.000000,901713.105000,274659.862000,2.924000
10.000000,901741.082000,274807.385000,7.032000
11.000000,901639.056000,274865.324000,2.493000
